Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_DEBIT_BANK_ACCOUNT_NUMBER,,MULTIPLE_CHOICE,Finanzdaten / Zahlungsinformationen des Nutzers
PSL_DATA_TYPES_FINANCIAL,PSL_PURCHASE_HISTORY,,MULTIPLE_CHOICE,Finanzdaten / Bisherige Käufe
PSL_DATA_TYPES_FINANCIAL,PSL_CREDIT_SCORE,,MULTIPLE_CHOICE,Finanzdaten / Kreditscoring
PSL_DATA_TYPES_FINANCIAL,PSL_OTHER,,MULTIPLE_CHOICE,Finanzdaten / Andere Finanzdaten
PSL_DATA_TYPES_LOCATION,PSL_APPROX_LOCATION,,MULTIPLE_CHOICE,Standort / Ungefährer Standort
PSL_DATA_TYPES_LOCATION,PSL_PRECISE_LOCATION,,MULTIPLE_CHOICE,Standort / Genauer Standort
PSL_DATA_TYPES_SEARCH_AND_BROWSING,PSL_WEB_BROWSING_HISTORY,,MULTIPLE_CHOICE,Surfen im Web / Browserverlauf
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_EMAILS,,MULTIPLE_CHOICE,Nachrichten / E-Mails
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_SMS_CALL_LOG,,MULTIPLE_CHOICE,Nachrichten / SMS oder MMS
PSL_DATA_TYPES_EMAIL_AND_TEXT,PSL_OTHER_MESSAGES,,MULTIPLE_CHOICE,Nachrichten / Andere In-App-Mitteilungen
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_PHOTOS,,MULTIPLE_CHOICE,Fotos und Videos / Fotos
PSL_DATA_TYPES_PHOTOS_AND_VIDEOS,PSL_VIDEOS,,MULTIPLE_CHOICE,Fotos und Videos / Videos
PSL_DATA_TYPES_AUDIO,PSL_AUDIO,,MULTIPLE_CHOICE,Audiodateien / Sprach- oder Tonaufnahmen
PSL_DATA_TYPES_AUDIO,PSL_MUSIC,,MULTIPLE_CHOICE,Audiodateien / Musikdateien
PSL_DATA_TYPES_AUDIO,PSL_OTHER_AUDIO,,MULTIPLE_CHOICE,Audiodateien / Andere Audiodateien
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_HEALTH,,MULTIPLE_CHOICE,Gesundheit und Fitness / Gesundheitsdaten
PSL_DATA_TYPES_HEALTH_AND_FITNESS,PSL_FITNESS,,MULTIPLE_CHOICE,Gesundheit und Fitness / Fitnessdaten
PSL_DATA_TYPES_CONTACTS,PSL_CONTACTS,,MULTIPLE_CHOICE,Kontakte / Kontakte
PSL_DATA_TYPES_CALENDAR,PSL_CALENDAR,,MULTIPLE_CHOICE,Kalender / Kalendertermine
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_CRASH_LOGS,,MULTIPLE_CHOICE,App-Informationen und -Leistung / Absturzprotokolle
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_PERFORMANCE_DIAGNOSTICS,,MULTIPLE_CHOICE,App-Informationen und -Leistung / Diagnosedaten
PSL_DATA_TYPES_APP_PERFORMANCE,PSL_OTHER_PERFORMANCE,,MULTIPLE_CHOICE,App-Informationen und -Leistung / Andere App-Leistungsdaten
PSL_DATA_TYPES_FILES_AND_DOCS,PSL_FILES_AND_DOCS,,MULTIPLE_CHOICE,Dateien und Dokumente / Dateien und Dokumente
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_INTERACTION,,MULTIPLE_CHOICE,App-Aktivitäten / App-Interaktionen
PSL_DATA_TYPES_APP_ACTIVITY,PSL_IN_APP_SEARCH_HISTORY,,MULTIPLE_CHOICE,App-Aktivitäten / Suchverlauf in der App
PSL_DATA_TYPES_APP_ACTIVITY,PSL_APPS_ON_DEVICE,,MULTIPLE_CHOICE,App-Aktivitäten / Installierte Apps
PSL_DATA_TYPES_APP_ACTIVITY,PSL_USER_GENERATED_CONTENT,,MULTIPLE_CHOICE,App-Aktivitäten / Andere von Nutzern erstellte Inhalte
PSL_DATA_TYPES_APP_ACTIVITY,PSL_OTHER_APP_ACTIVITY,,MULTIPLE_CHOICE,App-Aktivitäten / Andere Aktionen
PSL_DATA_TYPES_IDENTIFIERS,PSL_DEVICE_ID,,MULTIPLE_CHOICE,Geräte- oder andere IDs / Geräte- oder andere IDs
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Datennutzung und Umgang mit Daten (Name) / Werden diese Daten erhoben, geteilt oder beides? / Erhoben"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Datennutzung und Umgang mit Daten (Name) / Werden diese Daten erhoben, geteilt oder beides? / Geteilt"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Datennutzung und Umgang mit Daten (Name) / Werden diese Daten sitzungsspezifisch verarbeitet?
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Datennutzung und Umgang mit Daten (Name) / Sind diese Daten für deine App erforderlich oder können Nutzer entscheiden, ob sie erhoben werden? / Nutzer können entscheiden, ob diese Daten erhoben werden"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,,SINGLE_CHOICE,"Datennutzung und Umgang mit Daten (Name) / Sind diese Daten für deine App erforderlich oder können Nutzer entscheiden, ob sie erhoben werden? / Die Datenerhebung ist erforderlich, d. h., Nutzer können diese Option nicht deaktivieren"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten erhoben? Wähle alle zutreffenden Antworten aus. / Funktionen der App
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten erhoben? Wähle alle zutreffenden Antworten aus. / Analyse
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten erhoben? Wähle alle zutreffenden Antworten aus. / Mitteilungen des Entwicklers
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten erhoben? Wähle alle zutreffenden Antworten aus. / Betrugsprävention, Sicherheit und Compliance"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten erhoben? Wähle alle zutreffenden Antworten aus. / Werbung oder Marketing
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten erhoben? Wähle alle zutreffenden Antworten aus. / Personalisierung
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_COLLECTION_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten erhoben? Wähle alle zutreffenden Antworten aus. / Kontoverwaltung
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_APP_FUNCTIONALITY,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten geteilt? Wähle alle zutreffenden Antworten aus. / Funktionen der App
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ANALYTICS,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten geteilt? Wähle alle zutreffenden Antworten aus. / Analyse
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten geteilt? Wähle alle zutreffenden Antworten aus. / Mitteilungen des Entwicklers
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_FRAUD_PREVENTION_SECURITY,,MULTIPLE_CHOICE,"Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten geteilt? Wähle alle zutreffenden Antworten aus. / Betrugsprävention, Sicherheit und Compliance"
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ADVERTISING,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten geteilt? Wähle alle zutreffenden Antworten aus. / Werbung oder Marketing
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten geteilt? Wähle alle zutreffenden Antworten aus. / Personalisierung
PSL_DATA_USAGE_RESPONSES:PSL_NAME:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,,MULTIPLE_CHOICE,Datennutzung und Umgang mit Daten (Name) / Warum werden diese Nutzerdaten geteilt? Wähle alle zutreffenden Antworten aus. / Kontoverwaltung
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,,MULTIPLE_CHOICE,"Datennutzung und Umgang mit Daten (E-Mail-Adresse) / Werden diese Daten erhoben, geteilt oder beides? / Erhoben"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,,MULTIPLE_CHOICE,"Datennutzung und Umgang mit Daten (E-Mail-Adresse) / Werden diese Daten erhoben, geteilt oder beides? / Geteilt"
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:PSL_DATA_USAGE_EPHEMERAL,,,MAYBE_REQUIRED,Datennutzung und Umgang mit Daten (E-Mail-Adresse) / Werden diese Daten sitzungsspezifisch verarbeitet?
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,"Datennutzung und Umgang mit Daten (E-Mail-Adresse) / Sind diese Daten für deine App erforderlich oder können Nutzer entscheiden, ob sie erhoben werden? / Nutzer können entscheiden, ob diese Daten erhoben werden"
